rank,game,config,rtp,house_edge,std_per_unit,variance_per_unit,survival_prob
397,keno,"high, 2 picks",0.9865384615384616,0.013461538461538462,3.9870477243460503,15.896549556213017,0.9705991011315314
398,roulette,black,0.972972972972973,0.02702702702702703,0.9996347031841584,0.9992695398100804,0.9999999999999999
399,roulette,even,0.972972972972973,0.02702702702702703,0.9996347031841584,0.9992695398100804,0.9999999999999999
400,roulette,high,0.972972972972973,0.02702702702702703,0.9996347031841584,0.9992695398100804,0.9999999999999999
401,roulette,low,0.972972972972973,0.02702702702702703,0.9996347031841584,0.9992695398100804,0.9999999999999999
402,roulette,odd,0.972972972972973,0.02702702702702703,0.9996347031841584,0.9992695398100804,0.9999999999999999
403,roulette,red,0.972972972972973,0.02702702702702703,0.9996347031841584,0.9992695398100804,0.9999999999999999
404,roulette,column 1,0.972972972972973,0.02702702702702703,1.404365519650441,1.9722425127830532,0.9999999972992886
405,roulette,dozen 1,0.972972972972973,0.02702702702702703,1.404365519650441,1.9722425127830532,0.9999999972992886
406,roulette,line 16-17-18-19-20-21,0.972972972972973,0.02702702702702703,2.2115970319436524,4.891161431701973,0.9998467630468811
407,roulette,corner 16-17-19-20,0.972972972972973,0.02702702702702703,2.794652098315798,7.810080350620892,0.9973137546874278
408,roulette,street 16-17-18,0.972972972972973,0.02702702702702703,3.275515115144458,10.72899926953981,0.9896849817156245
409,roulette,split 17-20,0.972972972972973,0.02702702702702703,4.070237966922529,16.566837107377644,0.9615458238186126
410,roulette,straight 17,0.972972972972973,0.02702702702702703,5.837837837837838,34.08035062089116,0.8534607540148844
411,slots,Atkins Diet (WoO par sheet),0.9704576902097589,0.029542309790241084,4.4539946109470385,19.838067994345263,0.9403812485822278
412,baccarat,tie,0.8564037122127617,0.14359628778723826,2.640872221752324,6.9742060916230555,0.9771659926982129
